%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1546561950944203321,0,1546561950943694113,world,0.00401514582336,0.0341987945139,0.0232044216245,0.0359873957932,0.00868856068701,-0.0062043950893,-0.99929523468
1546561950944376737,1,1546561950943772933,world,0.00401230063289,0.0342072285712,0.0232426710427,0.0357389450073,0.00869357679039,-0.00622373679653,-0.999304056168
1546561950954519228,2,1546561950954057223,world,0.00401009339839,0.034215118736,0.0232472904027,0.035795416683,0.00863694213331,-0.00624393671751,-0.999302387238
1546561950954563102,3,1546561950954142187,world,0.00401877984405,0.0342142619193,0.0232547391206,0.0356692522764,0.00933018047363,-0.00634753610939,-0.999300003052
1546561950963852562,4,1546561950963594694,world,0.0040197102353,0.0342241413891,0.0232532564551,0.0356638133526,0.00912778545171,-0.00628436682746,-0.999302506447
1546561950963908948,5,1546561950963669449,world,0.00401346711442,0.0342230908573,0.0232614167035,0.0355365090072,0.00950509496033,-0.00634622760117,-0.999303102493
1546561950974497957,6,1546561950974155509,world,0.00401115557179,0.0342317186296,0.0232736393809,0.0355012603104,0.00944709405303,-0.00632891990244,-0.999305009842
1546561950974553863,7,1546561950974202807,world,0.00401100656018,0.0342292040586,0.0232839919627,0.035408437252,0.00980762951076,-0.00643066270277,-0.999304175377
1546561950983939391,8,1546561950983647794,world,0.00401358352974,0.0342346951365,0.0232675001025,0.0354562029243,0.0100442012772,-0.00638779206201,-0.99930036068
1546561950983998018,9,1546561950983732342,world,0.00401094043627,0.0342313982546,0.0232642460614,0.0355346240103,0.00975130219012,-0.00639228802174,-0.999300479889
1546561950994414250,10,1546561950994102140,world,0.00400876905769,0.034227848053,0.0232549030334,0.0355755761266,0.00985967181623,-0.00647813593969,-0.999297380447
1546561950994496846,11,1546561950994148222,world,0.00400382746011,0.0342312119901,0.0232650749385,0.0355619750917,0.00969021301717,-0.00646132184193,-0.999299645424
1546561951003779297,12,1546561951003512437,world,0.004003837239,0.0342356339097,0.0232587214559,0.0356014296412,0.00932107586414,-0.00635843118653,-0.999302387238
1546561951003840132,13,1546561951003557495,world,0.00400503305718,0.0342346318066,0.0232616681606,0.0355596244335,0.00913404580206,-0.00627168174833,-0.999306201935
1546561951014070084,14,1546561951013844409,world,0.00397848105058,0.0341366492212,0.0231120921671,0.0369988940656,0.0070280698128,-0.00623634085059,-0.999271154404
1546561951014108837,15,1546561951013915036,world,0.00399563601241,0.0341758802533,0.0231617130339,0.0364934578538,0.00778009369969,-0.00618351250887,-0.999284505844
1546561951024444682,16,1546561951024177661,world,0.00400384375826,0.0341951362789,0.0231856182218,0.0361885279417,0.00888474844396,-0.00620901118964,-0.999286174774
1546561951024770809,17,1546561951024203455,world,0.00398243358359,0.0341148227453,0.0230786520988,0.0370843298733,0.00769475335255,-0.00623824819922,-0.999263048172
1546561951033704988,18,1546561951033498098,world,0.00399530399591,0.0341536775231,0.0231497175992,0.036504406482,0.0086861057207,-0.00630617653951,-0.999275922775
1546561951033936039,19,1546561951033542612,world,0.0040004150942,0.0341876856983,0.023184157908,0.0361167527735,0.00918215047568,-0.00635210797191,-0.9992852211
1546561951044022464,20,1546561951043808886,world,0.00400993227959,0.0342145971954,0.0232046637684,0.0359571501613,0.00992976594716,-0.00638584606349,-0.999283671379
1546561951044097923,21,1546561951043851992,world,0.00401122309268,0.0342191010714,0.0232157986611,0.0359498225152,0.00935990456492,-0.00631932867691,-0.999289870262
1546561951054471753,22,1546561951054154394,world,0.00401281565428,0.0342206284404,0.0232356227934,0.0356738902628,0.00939674582332,-0.00635454570875,-0.999299168587
1546561951054515115,23,1546561951054182204,world,0.004005135037,0.0342340134084,0.0232442151755,0.0356575325131,0.00858617573977,-0.00633907690644,-0.999307155609
1546561951063796254,24,1546561951063495184,world,0.00400787452236,0.0342347323895,0.0232427511364,0.035725299269,0.00912539660931,-0.00636600377038,-0.999299764633
1546561951063872322,25,1546561951063525522,world,0.00401395885274,0.0342343784869,0.0232401806861,0.0357059165835,0.00924381427467,-0.00635532941669,-0.999299407005
